----------------------------------------------------
Instance name          n      A   F   M     N      S
----------------------------------------------------
G-ex                   8   True   0   2     3     ?!
P3                     3   True   1   1    -1   True
bht                5,757  False   0  ?!     6     ?!
common-1-100         100  False  -1  -1    -1  False
common-1-1000      1,000  False  -1  -1    -1  False
common-1-1500      1,500  False  -1  -1    -1  False
common-1-20           20  False  -1  -1    -1  False
common-1-2000      2,000  False  -1  -1    -1  False
common-1-250         250  False  -1  -1    -1  False
common-1-2500      2,500  False   1  ?!     6   True
common-1-3000      3,000  False   1  ?!     6   True
common-1-3500      3,500  False   1  ?!     6   True
common-1-4000      4,000  False   1  ?!     6   True
common-1-4500      4,500   True   1  ?!     6   True
common-1-50           50  False  -1  -1    -1  False
common-1-500         500  False  -1  -1    -1  False
common-1-5000      5,000   True   1  ?!     6   True
common-1-5757      5,757   True   1  ?!     6   True
common-2-100         100  False  -1  -1    -1  False
common-2-1000      1,000   True   1  ?!     4   True
common-2-1500      1,500   True   1  ?!     4   True
common-2-20           20  False  -1  -1    -1  False
common-2-2000      2,000   True   1  ?!     4   True
common-2-250         250  False  -1  -1    -1  False
common-2-2500      2,500   True   1  ?!     4   True
common-2-3000      3,000   True   1  ?!     4   True
common-2-3500      3,500   True   1  ?!     4   True
common-2-4000      4,000   True   1  ?!     4   True
common-2-4500      4,500   True   1  ?!     4   True
common-2-50           50  False  -1  -1    -1  False
common-2-500         500   True   1  ?!     4   True
common-2-5000      5,000   True   1  ?!     4   True
common-2-5757      5,757   True   1  ?!     4   True
dodecahedron          20  False   2  20     1   True
gnm-10-15-0           10  False   0   1     1     ?!
gnm-10-15-1           10   True   1   5     1   True
gnm-10-20-0           10  False   1   1     3   True
gnm-10-20-1           10   True   2   5     3   True
gnm-1000-1500-0    1,000  False   1  ?!    -1     ?!
gnm-1000-1500-1    1,000  False   2  ?!    -1     ?!
gnm-1000-2000-0    1,000  False   0  ?!     7     ?!
gnm-1000-2000-1    1,000  False   2  ?!    -1   True
gnm-2000-3000-0    2,000  False   0  ?!     8     ?!
gnm-2000-3000-1    2,000   True   2  ?!    -1   True
gnm-2000-4000-0    2,000  False   0  ?!     6     ?!
gnm-2000-4000-1    2,000  False   0  ?!     5     ?!
gnm-3000-4500-0    3,000  False   0  ?!    10     ?!
gnm-3000-4500-1    3,000  False   2  ?!    -1     ?!
gnm-3000-6000-0    3,000  False   0  ?!     6     ?!
gnm-3000-6000-1    3,000  False   2  ?!     6   True
gnm-4000-6000-0    4,000  False   0  ?!     7     ?!
gnm-4000-6000-1    4,000  False   1  ?!    15   True
gnm-4000-8000-0    4,000  False   0  ?!     5     ?!
gnm-4000-8000-1    4,000   True   2  ?!     6   True
gnm-5000-10000-0   5,000  False   2  ?!     5   True
gnm-5000-10000-1   5,000   True   1  ?!     5   True
gnm-5000-7500-0    5,000  False  -1  -1    -1  False
gnm-5000-7500-1    5,000  False  -1  -1    -1  False
grid-10-0            100  False   0  ?!    49     ?!
grid-10-1            100  False   0  ?!    29     ?!
grid-10-2            100   True   2  ?!    -1     ?!
grid-25-0            625   True   0  ?!   324     ?!
grid-25-1            625   True   0  ?!   123     ?!
grid-25-2            625   True   5  ?!    -1     ?!
grid-5-0              25   True   0   8    14     ?!
grid-5-1              25   True   0   6     8     ?!
grid-5-2              25   True   1  10    -1     ?!
grid-50-0          2,500  False   0  ?!  1249     ?!
grid-50-1          2,500  False   0  ?!   521     ?!
grid-50-2          2,500  False  11  ?!    -1   True
increase-n10-1        10   True   1   2     1   True
